item,IPA,complex,stressedV,shape,shape_group,place,type,voiced.correct,voiceless.incorrect,c1,c2,correct.first,incorrect.second,file.sg,file.pl.voiceless.reg,file.pl.voiced.irreg
proof,pruf,FALSE,u,P,P,f,stim,van,fan,v,f,loot,foot,pruf.proof_1251,prufs.proof_11592,pruvz.proof_6172
puff,pʌf,FALSE,ʌ,P,P,f,stim,van,fan,v,f,blood,boot,puf.puff_1611,pufs.puff_2912,puvz.puff_2031
quaff,kwɑf,FALSE,ɑ,P,P,f,stim,van,fan,v,f,hot,hat,kwaf.quaff_14641,kwofs.quaff_3032,kwavz.quaff_12891
reef,rif,FALSE,i,P,P,f,stim,van,fan,v,f,reek,rake,rif.reef_14112,rifs.reef_10152,rivz.reef_332
ref,rɛf,FALSE,ɛ,P,P,f,stim,van,fan,v,f,let,lot,ref.ref_9521,refs.ref_9072,revz.ref_14092
relief,rɪlif,FALSE,i,_P,_P,f,stim,van,fan,v,f,reek,rake,rIlif.relief_3772,rIlifs.relief_72,rIlivz.relief_12472
roof,ruf,FALSE,u,P,P,f,stim,van,fan,v,f,loot,foot,ruf.roof_10711,rufs.roof_2591,ruvz.roof_3472
safe,seɪf,FALSE,eɪ,P,P,f,stim,van,fan,v,f,pale,pal,seIf.safe_9532,seIfs.safe_11112,seIvz.safe_15772
scarf,skɑrf,FALSE,ɑ,P,P,f,stim,van,fan,v,f,hot,hat,skarf.scarf_12171,skarfs.scarf_1132,skarvz.scarf_9292
self,sɛlf,FALSE,ɛ,P,P,f,stim,van,fan,v,f,let,lot,self.self_15201,selfs.self_5751,selvz.self_14252
seraph,sɛrɪf,FALSE,ɛ,P_,P_,f,stim,van,fan,v,f,let,lot,serIf.seraph_5972,serIfs.seraph_7992,serivz.seraph_12871
serf,sɚf,FALSE,ɚ,P,P,f,stim,van,fan,v,f,heard,hard,serf.serf_4351,serfs.serf_13841,servz.serf_551
serif,sɛrɪf,FALSE,ɛ,P_,P_,f,stim,van,fan,v,f,let,lot,serif.serif_9601,serIfs.serif_12292,serIvz.serif_1492
sheaf,ʃif,FALSE,i,P,P,f,stim,van,fan,v,f,reek,rake,shif.sheaf_12271,shifs.sheaf_4192,shivz.sheaf_2892
shelf,ʃɛlf,FALSE,ɛ,P,P,f,stim,van,fan,v,f,let,lot,shelf.shelf_6811,shelfs.shelf_212,shelvz.shelf_10472
sheriff,ʃɛrɪf,FALSE,ɛ,P_,P_,f,stim,van,fan,v,f,let,lot,sherIf.sheriff_12432,sherIfs.sheriff_5912,sherIvz.sheriff_13692
