skeer,skeer_256.wav,skeer.i_258.wav,skeer.s_260.wav,skir,dessert,miss,has the sound of the 'ss' in 'dessert',has the sound of the 'ss' in 'miss',creak,crack,has the vowel sound of 'creak',has the vowel sound of 'crack',filler,z,mono,i,2,0,S K IY R
bosum,bosum_330.wav,bosum.i_334.wav,bosum.s_332.wav,boʊzəm,easy,easter,has the sound of the 's' in 'easy',has the sound of the 's' in 'easter',load,loud,has the vowel sound of 'load',has the vowel sound of 'loud',filler,m,trochee,oʊ,2,0,B OW Z IH M
kouse,kouse_1382.wav,kouse.i_1422.wav,kouse.s_1402.wav,kaʊs,crow,grow,has the sound of the 'c' in 'crow',has the sound of the 'g' in 'grow',lout,light,has the vowel sound of 'lout',has the vowel sound of 'light',filler,s,mono,aʊ,2,0,K AW S
trouse,trouse_356.wav,trouse.i_366.wav,trouse.s_358.wav,tɹaʊs,drip,trip,has the sound of the 'd' in 'drip',has the sound of the 't' in 'trip',lout,light,has the vowel sound of 'lout',has the vowel sound of 'light',filler,s,mono,aʊ,2,0,T R AW S
koose,koose_1622.wav,koose.i_1662.wav,koose.s_1642.wav,kus,crow,grow,has the sound of the 'c' in 'crow',has the sound of the 'g' in 'grow',hoot,heat,has the vowel sound of 'hoot',has the vowel sound of 'heat',filler,s,mono,u,2,0,K UW S
toose,toose_1322.wav,toose.i_552.wav,toose.s_550.wav,tus,drip,trip,has the sound of the 'd' in 'drip',has the sound of the 't' in 'trip',hoot,heat,has the vowel sound of 'hoot',has the vowel sound of 'heat',filler,s,mono,u,2,0,T UW S
jonnif,jonnif_444.wav,jonnif.s_446.wav,jonnif.z_5622.wav,dʒɑnəf,dave,jeff,has the sound of the 'v' in 'dave',has the sound of the 'ff' in 'jeff',posh,cash,has the vowel sound of 'cash',has the vowel sound of 'posh',stim,f,trochee,ɑ,2,0,D ZH AA N IH F
hibof,hibof_2402.wav,hibof.s_2442.wav,hibof.z_2422.wav,həbɑf,dove,rough,has the sound of the 'v' in 'dove',has the sound of the 'gh' in 'rough',nosh,bash,has the vowel sound of 'nosh',has the vowel sound of 'bash',stim,f,iamb,ɑ,2,0,HH IH B AA F
wof,wof_632.wav,wof.s_636.wav,wof.z_634.wav,wɑf,of,loft,has the sound of the 'f' in 'of',has the sound of the 'f' in 'loft',boss,bass,has the vowel sound of 'boss',has the vowel sound of 'bass',stim,f,mono,ɑ,2,0,W AA F
tockif,tockif_1343.wav,tockif.s_388.wav,tockif.z_386.wav,tɑkəf,shove,spoof,has the sound of the 'v' in 'shove',has the sound of the 'f' in 'spoof',slosh,cut,has the vowel sound of 'slosh',has the vowel sound of 'cut',stim,f,trochee,ɑ,2,0,T AA K IH F
glinof,glinof_322.wav,glinof.s_362.wav,glinof.z_342.wav,glənɑf,stove,tough,has the sound of the 'v' in 'stove',has the sound of the 'gh' in 'tough',fox,fix,has the vowel sound of 'fix',has the vowel sound of 'fox',stim,f,iamb,ɑ,2,0,G L IH N AA F
smof,smof_236.wav,smof.s_240.wav,smof.z_238.wav,smɑf,weave,carafe,has the sound of the 'v' in 'weave',has the sound of the 'f' in 'carafe',glom,putt,has the vowel sound of 'putt',has the vowel sound of 'glom',stim,f,mono,ɑ,2,0,S M AA F
hockith,hockith_734.wav,hockith.s_736.wav,hockith.z_738.wav,hɑkəθ,either,lethal,has the sound of the 'th' in 'either',has the sound of the 'th' in 'lethal',rocker,booger,has the vowel sound of 'rocker',has the vowel sound of 'booger',stim,θ,trochee,ɑ,2,0,HH AA K IH TH
wath,wath_3242.wav,wath.s_3262.wav,wath.z_3282.wav,wɑθ,either,lethal,has the sound of the 'th' in 'either',has the sound of the 'th' in 'lethal',hot,hard,has the vowel sound of 'hot',has the vowel sound of 'hard',stim,θ,mono,ɑ,2,0,W AA TH
jezoth,jezoth_62.wav,jezoth.s_66.wav,jezoth.z_64.wav,ʤəzɑθ,heather,ether,has the sound of the 'th' in 'heather',has the sound of the 'th' in 'ether',gosh,coach,has the vowel sound of 'gosh',has the vowel sound of 'coach',stim,θ,iamb,ɑ,2,0,JH IH Z AA TH
parth,parth_262.wav,parth.s_302.wav,parth.z_288.wav,pɑɹθ,mother,moth,has the sound of the 'th' in 'mother',has the sound of the 'th' in 'moth',shark,perk,has the vowel sound of 'perk',has the vowel sound of 'shark',stim,θ,mono,ɑ,2,r,P AA R TH
saustith,saustith_82.wav,saustith.s_122.wav,saustith.z_102.wav,sɑstəθ,rather,bathtub,has the sound of the 'th' in 'rather',has the sound of the 'th' in 'bathtub',foster,border,has the vowel sound of 'border',has the vowel sound of 'foster',stim,θ,trochee,ɑ,2,0,S AA S T IH TH
kenath,kenath_488.wav,kenath.s_492.wav,kenath.z_490.wav,kənɑθ,smooth,truth,has the sound of the 'th' in 'smooth',has the sound of the 'th' in 'truth',scotch,hatch,has the vowel sound of 'scotch',has the vowel sound of 'hatch',stim,θ,iamb,ɑ,2,0,K IH N AA TH
pernaff,pernaf_5362.wav,pernaf.s_5402.wav,pernaf.z_5382.wav,pɚnæf,groove,gaffe,has the sound of the 'v' in 'groove',has the sound of the 'ff' in 'gaffe',slap,slope,has the vowel sound of 'slap',has the vowel sound of 'slope',stim,f,iamb,æ,2,0,P ER N AE F
zalf,zalf_318.wav,zalf.s_322.wav,zalf.z_320.wav,zælf,knave,bluff,has the sound of the 'v' in 'knave',has the sound of the 'ff' in 'bluff',gal,gall,has the vowel sound of 'gal',has the vowel sound of 'gall',stim,f,mono,æ,2,l,Z AE L F
buwalf,buwalf_98.wav,buwalf.s_102.wav,buwalf.z_100.wav,bəwælf,live,banff,has the sound of the 'v' in 'live',has the sound of the 'ff' in 'banff',gal,gall,has the vowel sound of 'gal',has the vowel sound of 'gall',stim,f,iamb,æ,2,l,B IH W AE L F
yalmif,yalmif_3882.wav,yalmif.s_3922.wav,yalmif.z_3902.wav,yælməf,rave,safe,has the sound of the 'v' in 'rave',has the sound of the 'f' in 'safe',jazz,fizz,has the vowel sound of 'jazz',has the vowel sound of 'fizz',stim,f,trochee,æ,2,l,y AE L M IH F
jaff,jaf_3602.wav,jaf.s_3642.wav,jaf.z_3622.wav,ʤæf,rove,laugh,has the sound of the 'v' in 'rove',has the sound of the 'gh' in 'laugh',rap,rope,has the vowel sound of 'rap',has the vowel sound of 'rope',stim,f,mono,æ,2,0,JH AE F
shaddef,shaddef_3362.wav,shaddef.s_3382.wav,shaddef.z_3402.wav,ʃædəf,weave,carafe,has the sound of the 'v' in 'weave',has the sound of the 'f' in 'carafe',pal,peel,has the vowel sound of 'pal',has the vowel sound of 'peel',stim,f,trochee,æ,2,0,SH AE D IH F
sisalth,sisalth_650.wav,sisalth.s_654.wav,sisalth.z_652.wav,səsælθ,blather,twelfth,has the sound of the 'th' in 'blather',has the sound of the 'th' in 'twelfth',plaid,plead,has the vowel sound of 'plaid',has the vowel sound of 'plead',stim,θ,iamb,æ,2,l,S IH S AE L TH
nackith,nackith_20.wav,nackith.s_24.wav,nackith.z_22.wav,nækəθ,blather,twelfth,has the sound of the 'th' in 'blather',has the sound of the 'th' in 'twelfth',lad,lead,has the vowel sound of 'lad',has the vowel sound of 'lead',stim,θ,trochee,æ,2,0,N AE K IH TH
krath,krath_668.wav,krath.s_672.wav,krath.z_670.wav,kɹæθ,either,lethal,has the sound of the 'th' in 'either',has the sound of the 'th' in 'lethal',pal,peel,has the vowel sound of 'pal',has the vowel sound of 'peel',stim,θ,mono,æ,2,0,K R AE TH
shekath,shekath_743.wav,shekath.s_783.wav,shekath.z_763.wav,ʃəkæθ,heathen,heathrow,has the sound of the 'th' in 'heathen',has the sound of the 'th' in 'heathrow',slap,slope,has the vowel sound of 'slap',has the vowel sound of 'slope',stim,θ,iamb,æ,2,0,SH IH K AE TH
kalnith,kalnith_1562.wav,kalnith.s_1602.wav,kalnith.z_1582.wav,kælnəθ,rather,bathtub,has the sound of the 'th' in 'rather',has the sound of the 'th' in 'bathtub',rap,reap,has the vowel sound of 'rap',has the vowel sound of 'reap',stim,θ,trochee,æ,2,l,K AE L N IH TH
palth,palth_92.wav,palth.s_594.wav,palth.z_592.wav,pælθ,smooth,truth,has the sound of the 'th' in 'smooth',has the sound of the 'th' in 'truth',patch,porch,has the vowel sound of 'porch',has the vowel sound of 'patch',stim,θ,mono,æ,2,l,P AE L TH
kairif,kairif_4482.wav,kairif.s_4502.wav,kairif.z_4522.wav,kaɪrəf,cove,plaintiff,has the sound of the 'v' in 'cove',has the sound of the 'ff' in 'plaintiff',high,card,has the vowel sound of 'high',has the vowel sound of 'card',stim,f,trochee,aɪ,2,0,K AY R IH F
sebife,sebife_202.wav,sebife.s_222.wav,sebife.z_242.wav,səbaɪf,pave,fluff,has the sound of the 'v' in 'pave',has the sound of the 'ff' in 'fluff',thyme,theme,has the vowel sound of 'thyme',has the vowel sound of 'theme',stim,f,iamb,aɪ,2,0,S IH B AY F
zife,zife_5662.wav,zife.s_5682.wav,zife.z_5702.wav,zaɪf,perv,wolf,has the sound of the 'v' in 'perv',has the sound of the 'f' in 'wolf',nigh,neigh,has the vowel sound of 'nigh',has the vowel sound of 'neigh',stim,f,mono,aɪ,2,0,Z AY F
rylif,rylif_196.wav,rylif.s_200.wav,rylif.z_198.wav,ɹaɪləf,receive,giraffe,has the sound of the 'v' in 'receive',has the sound of the 'ff' in 'giraffe',style,steel,has the vowel sound of 'style',has the vowel sound of 'steel',stim,f,trochee,aɪ,2,0,R AY L IH F
brife,brife_578.wav,brife.s_152.wav,brife.z_150.wav,bɹaɪf,stove,rough,has the sound of the 'v' in 'stove',has the sound of the 'gh' in 'rough',light,eight,has the vowel sound of 'eight',has the vowel sound of 'light',stim,f,mono,aɪ,2,0,B R AY F
zikife,zikife_2522.wav,zikife.s_2562.wav,zikife.z_2542.wav,zəkaɪf,stove,tough,has the sound of the 'v' in 'stove',has the sound of the 'gh' in 'tough',skype,scoop,has the vowel sound of 'scoop',has the vowel sound of 'skype',stim,f,iamb,aɪ,2,0,Z IH K AY F
chyth,chyth_542.wav,chyth.s_546.wav,chyth.z_544.wav,ʧaɪθ,either,lethal,has the sound of the 'th' in 'either',has the sound of the 'th' in 'lethal',mite,moat,has the vowel sound of 'mite',has the vowel sound of 'moat',stim,θ,mono,aɪ,2,0,CH AY TH
dipyth,dipyth_172.wav,dipyth.s_176.wav,dipyth.z_174.wav,dəpaɪθ,heather,ether,has the sound of the 'th' in 'heather',has the sound of the 'th' in 'ether',pry,play,has the vowel sound of 'pry',has the vowel sound of 'play',stim,θ,iamb,aɪ,2,0,D IH P AY TH
hylith,hylith_524.wav,hylith.s_526.wav,hylith.z_528.wav,haɪləθ,mother,moth,has the sound of the 'th' in 'mother',has the sound of the 'th' in 'moth',price,prance,has the vowel sound of 'prance',has the vowel sound of 'price',stim,θ,trochee,aɪ,2,0,HH AY L IH TH
shryth,shryth_3302.wav,shryth.s_3322.wav,shryth.z_3342.wav,ʃɹaɪθ,rather,bathtub,has the sound of the 'th' in 'rather',has the sound of the 'th' in 'bathtub',hype,boost,has the vowel sound of 'hype',has the vowel sound of 'boost',stim,θ,mono,aɪ,2,0,SH R AY TH
pydith,pydith_1883.wav,pydith.s_1903.wav,pydith.z_1923.wav,paɪdəθ,rather,bathtub,has the sound of the 'th' in 'rather',has the sound of the 'th' in 'bathtub',kite,skate,has the vowel sound of 'kite',has the vowel sound of 'skate',stim,θ,trochee,aɪ,2,0,P AY D IH TH
hissyth,hussyth_2042.wav,hussyth.s_2082.wav,hussyth.z_2062.wav,həsaɪθ,smooth,truth,has the sound of the 'th' in 'smooth',has the sound of the 'th' in 'truth',rice,race,has the vowel sound of 'rice',has the vowel sound of 'race',stim,θ,iamb,aɪ,2,0,HH IH S AY TH
petelf,petelf_6922.wav,petelf.s_756.wav,petelf.z_6942.wav,pətɛlf,dave,jeff,has the sound of the 'v' in 'dave',has the sound of the 'ff' in 'jeff',belt,real,has the vowel sound of 'belt',has the vowel sound of 'real',stim,f,iamb,ɛ,1,l,P IH T EH L F
nelgif,nelgif_116.wav,nelgif.s_120.wav,nelgif.z_118.wav,nɛlgəf,dove,rough,has the sound of the 'v' in 'dove',has the sound of the 'gh' in 'rough',spell,shpiel,has the vowel sound of 'spell',has the vowel sound of 'shpiel',stim,f,trochee,ɛ,1,l,N EH L G IH F
wageff,wagef_1703.wav,wagef.s_1723.wav,wagef.z_1743.wav,wəgɛf,grove,steph,has the sound of the 'v' in 'grove',has the sound of the 'ph' in 'steph',bless,bliss,has the vowel sound of 'bless',has the vowel sound of 'bliss',stim,f,iamb,ɛ,1,0,W IH G EH F
yeff,yef_4062.wav,yef.s_4102.wav,yef.z_4082.wav,yɛf,live,banff,has the sound of the 'v' in 'live',has the sound of the 'ff' in 'banff',crept,crypt,has the vowel sound of 'crept',has the vowel sound of 'crypt',stim,f,mono,ɛ,1,0,y EH F
shestef,shestef_722.wav,shestef.s_724.wav,shestef.z_726.wav,ʃɛstəf,wave,skiff,has the sound of the 'v' in 'wave',has the sound of the 'ff' in 'skiff',heck,hock,has the vowel sound of 'heck',has the vowel sound of 'hock',stim,f,trochee,ɛ,1,0,SH EH S T IH F
senf,senf_1982.wav,senf.s_2022.wav,senf.z_2002.wav,sɛnf,weave,carafe,has the sound of the 'v' in 'weave',has the sound of the 'f' in 'carafe',fence,dance,has the vowel sound of 'fence',has the vowel sound of 'dance',stim,f,mono,ɛ,1,n,S EH N F
shenneth,shenneth_4362.wav,shenneth.s_4402.wav,shenneth.z_4382.wav,ʃɛnəθ,blather,twelfth,has the sound of the 'th' in 'blather',has the sound of the 'th' in 'twelfth',dense,dork,has the vowel sound of 'dense',has the vowel sound of 'dork',stim,θ,trochee,ɛ,1,0,SH EH N IH TH
pelth,pelth_2162.wav,pelth.s_2202.wav,pelth.z_2182.wav,pɛlθ,heather,ether,has the sound of the 'th' in 'heather',has the sound of the 'th' in 'ether',belt,real,has the vowel sound of 'belt',has the vowel sound of 'real',stim,θ,mono,ɛ,1,l,P EH L TH
dackelth,dackelth_262.wav,dackelth.s_266.wav,dackelth.z_264.wav,dəkɛlθ,loathing,pithy,has the sound of the 'th' in 'loathing',has the sound of the 'th' in 'pithy',tell,tall,has the vowel sound of 'tell',has the vowel sound of 'tall',stim,θ,iamb,ɛ,1,l,D IH K EH L TH
sketh,sketh_3062.wav,sketh.s_3082.wav,sketh.z_3102.wav,skɛθ,mother,moth,has the sound of the 'th' in 'mother',has the sound of the 'th' in 'moth',Bess,bass,has the vowel sound of 'Bess',has the vowel sound of 'bass',stim,θ,mono,ɛ,1,0,S K EH TH
resteth,resteth_3422.wav,resteth.s_7682.wav,resteth.z_3442.wav,ɹəstɛθ,smooth,truth,has the sound of the 'th' in 'smooth',has the sound of the 'th' in 'truth',step,steep,has the vowel sound of 'step',has the vowel sound of 'steep',stim,θ,iamb,ɛ,1,0,R IH S T EH TH
sengith,sengith_2702.wav,sengith.s_2742.wav,sengith.z_2722.wav,sɛŋgɪθ,weather,bequeath,has the sound of the 'th' in 'weather',has the sound of the 'th' in 'bequeath',head,herd,has the vowel sound of 'head',has the vowel sound of 'herd',stim,θ,trochee,ɛ,1,n,S EH NG G IH TH
sternif,sternif_250.wav,sternif.s_254.wav,sternif.z_252.wav,stɚnəf,crave,riff,has the sound of the 'v' in 'crave',has the sound of the 'ff' in 'riff',sperm,psalm,has the vowel sound of 'sperm',has the vowel sound of 'psalm',stim,f,trochee,ɚ,1,0,S T ER N IH F
kerf,kerf_3802.wav,kerf.s_2223.wav,kerf.z_2203.wav,kɚf,groove,gaffe,has the sound of the 'v' in 'groove',has the sound of the 'ff' in 'gaffe',hearst,feast,has the vowel sound of 'hearst',has the vowel sound of 'feast',stim,f,mono,ɚ,1,0,K ER F
sterf,sterf_6562.wav,sterf.s_6602.wav,sterf.z_6582.wav,stɚf,knave,bluff,has the sound of the 'v' in 'knave',has the sound of the 'ff' in 'bluff',myrtle,maple,has the vowel sound of 'myrtle',has the vowel sound of 'maple',stim,f,mono,ɚ,1,0,S T ER F
shanurf,shanurf_674.wav,shanurf.s_678.wav,shanurf.z_676.wav,ʃənɚf,rave,safe,has the sound of the 'v' in 'rave',has the sound of the 'f' in 'safe',myrtle,maple,has the vowel sound of 'myrtle',has the vowel sound of 'maple',stim,f,iamb,ɚ,1,0,SH IH N ER F
glersif,glersif_274.wav,glersif.s_278.wav,glersif.z_276.wav,glɚsəf,rove,laugh,has the sound of the 'v' in 'rove',has the sound of the 'gh' in 'laugh',turbo,treble,has the vowel sound of 'turbo',has the vowel sound of 'treble',stim,f,trochee,ɚ,1,0,G L ER S IH F
yesturf,yesturf_656.wav,yesturf.s_660.wav,yesturf.z_658.wav,yəstɚf,shove,spoof,has the sound of the 'v' in 'shove',has the sound of the 'f' in 'spoof',bird,beard,has the vowel sound of 'bird',has the vowel sound of 'beard',stim,f,iamb,ɚ,1,0,y IH S T ER F
querth,querth_572.wav,querth.s_454.wav,querth.z_452.wav,kwɚθ,brother,broth,has the sound of the 'th' in 'brother',has the sound of the 'th' in 'broth',hearst,feast,has the vowel sound of 'hearst',has the vowel sound of 'feast',stim,θ,mono,ɚ,1,0,K W ER TH
sakirth,sukirth_1922.wav,sukirth.s_1962.wav,sukirth.z_1942.wav,səkɚθ,heathen,heathrow,has the sound of the 'th' in 'heathen',has the sound of the 'th' in 'heathrow',gurgle,google,has the vowel sound of 'gurgle',has the vowel sound of 'google',stim,θ,iamb,ɚ,1,0,S IH K ER TH
lurbith,lurbith_336.wav,lurbith.s_340.wav,lurbith.z_338.wav,lɚbəθ,heather,ether,has the sound of the 'th' in 'heather',has the sound of the 'th' in 'ether',turbo,treble,has the vowel sound of 'turbo',has the vowel sound of 'treble',stim,θ,trochee,ɚ,1,0,L ER B IH TH
wurgith,wurgith_644.wav,wurgith.s_646.wav,wurgith.z_648.wav,wɚgəθ,leather,wreath,has the sound of the 'th' in 'leather',has the sound of the 'th' in 'wreath',sperm,psalm,has the vowel sound of 'sperm',has the vowel sound of 'psalm',stim,θ,trochee,ɚ,1,0,W ER G IH TH
genurth,genurth_3002.wav,genurth.s_3022.wav,genurth.z_3042.wav,gənɚθ,loathing,pithy,has the sound of the 'th' in 'loathing',has the sound of the 'th' in 'pithy',bird,beard,has the vowel sound of 'bird',has the vowel sound of 'beard',stim,θ,iamb,ɚ,1,0,G IH N ER TH
stirth,stirth_4862.wav,stirth.s_4882.wav,stirth.z_4902.wav,stɚθ,weather,bequeath,has the sound of the 'th' in 'weather',has the sound of the 'th' in 'bequeath',myrtle,maple,has the vowel sound of 'myrtle',has the vowel sound of 'maple',stim,θ,mono,ɚ,1,0,S T ER TH
bafe,bafe_420.wav,bafe.s_424.wav,bafe.z_422.wav,beɪf,crave,riff,has the sound of the 'v' in 'crave',has the sound of the 'ff' in 'riff',trace,rice,has the vowel sound of 'trace',has the vowel sound of 'rice',stim,f,mono,eɪ,2,0,B EY F
sailif,seylif_1463.wav,seylif.s_1503.wav,seylif.z_244.wav,seɪləf,eve,ref,has the sound of the 'v' in 'eve',has the sound of the 'f' in 'ref',sale,sell,has the vowel sound of 'sale',has the vowel sound of 'sell',stim,f,trochee,eɪ,2,0,S EY L IH F
craedef,craedef_740.wav,craedef.s_744.wav,craedef.z_742.wav,kreɪdəf,love,scoff,has the sound of the 'v' in 'love',has the sound of the 'ff' in 'scoff',stage,stooge,has the vowel sound of 'stooge',has the vowel sound of 'stage',stim,f,trochee,eɪ,2,0,K R EY D IH F
melaif,melaif_5722.wav,melaif.s_5742.wav,melaif.z_5762.wav,məleɪf,pelvis,triumph,has the sound of the 'v' in 'pelvis',has the sound of the 'ph' in 'triumph',bass,boss,has the vowel sound of 'boss',has the vowel sound of 'bass',stim,f,iamb,eɪ,2,0,M IH L EY F
tinkafe,tinkafe_6682.wav,tinkafe.s_6722.wav,tinkafe.z_6702.wav,tənkeɪf,perv,wolf,has the sound of the 'v' in 'perv',has the sound of the 'f' in 'wolf',mace,moose,has the vowel sound of 'mace',has the vowel sound of 'moose',stim,f,iamb,eɪ,2,0,T IH N K EY F
mafe,mafe_154.wav,mafe.s_243.wav,mafe.z_223.wav,meɪf,sleeve,sheriff,has the sound of the 'v' in 'sleeve',has the sound of the 'ff' in 'sheriff',sail,seal,has the vowel sound of 'sail',has the vowel sound of 'seal',stim,f,mono,eɪ,2,0,M EY F
teraith,teraith_214.wav,teraith.s_218.wav,teraith.z_216.wav,təɹeɪθ,blather,twelfth,has the sound of the 'th' in 'blather',has the sound of the 'th' in 'twelfth',case,cross,has the vowel sound of 'case',has the vowel sound of 'cross',stim,θ,iamb,eɪ,2,0,T IH R EY TH
hilayth,hullayth_4242.wav,hullayth.s_4282.wav,hullayth.z_4262.wav,həleɪθ,either,lethal,has the sound of the 'th' in 'either',has the sound of the 'th' in 'lethal',mace,moose,has the vowel sound of 'mace',has the vowel sound of 'moose',stim,θ,iamb,eɪ,2,0,HH IH L EY TH
nagith,nagith_680.wav,nagith.s_684.wav,nagith.z_470.wav,neɪgəθ,heather,ether,has the sound of the 'th' in 'heather',has the sound of the 'th' in 'ether',snake,sneak,has the vowel sound of 'snake',has the vowel sound of 'sneak',stim,θ,trochee,eɪ,2,0,N EY G IH TH
smathe,smathe_2882.wav,smathe.s_2922.wav,smathe.z_2902.wav,smeɪθ,mother,moth,has the sound of the 'th' in 'mother',has the sound of the 'th' in 'moth',haze,sneeze,has the vowel sound of 'haze',has the vowel sound of 'sneeze',stim,θ,mono,eɪ,2,0,S M EY TH
