spelling	ipa	shape	human	confidence1	confidence2	mingen	difference	abs_difference	final
glersif	glɚsəf	P_	4.23529411764706	0.341731124232626	0.77072362099767	2.84311924074834	-1.39217487689872	1.39217487689872	f
yesturf	yəstɚf	_P	4.88888888888889	0.341731124232626	0.77072362099767	2.84311924074834	-2.04576964814055	2.04576964814055	f
querth	kwɚθ	P	4.875	0.416788531758712	0.636735631635632	3.37368185509403	-1.50131814490597	1.50131814490597	T
sakirth	səkɚθ	_P	4.55	0.416788531758712	0.636735631635632	3.37368185509403	-1.17631814490597	1.17631814490597	T
lurbith	lɚbəθ	P_	3.5	0.416788531758712	0.634711124153747	3.37825202936678	-0.121747970633225	0.121747970633225	T
wurgith	wɚgəθ	P_	2.53333333333333	0.416788531758712	0.634711124153747	3.37825202936678	0.844918696033445	0.844918696033445	T
genurth	gənɚθ	_P	4.33333333333333	0.416788531758712	0.636735631635632	3.37368185509403	-0.959651478239302	0.959651478239302	T
stirth	stɚθ	P	3.5625	0.416788531758712	0.636735631635632	3.37368185509403	-0.188818144905971	0.188818144905971	T
bafe	beɪf	P	5.5	0.495451203060012	0.77072362099767	3.34778575744659	-2.15221424255341	2.15221424255341	f
sailif	seɪləf	P_	3.5625	0.341731124232626	0.77072362099767	2.84311924074834	-0.719380759251655	0.719380759251655	f
craedef	kreɪdəf	P_	5.14285714285714	0.341731124232626	0.77072362099767	2.84311924074834	-2.2997379021088	2.2997379021088	f
melaif	məleɪf	_P	5.66666666666667	0.495451203060012	0.77072362099767	3.34778575744659	-2.31888090922008	2.31888090922008	f
tinkafe	tənkeɪf	_P	5.4	0.495451203060012	0.77072362099767	3.34778575744659	-2.05221424255341	2.05221424255341	f
mafe	meɪf	P	5.42105263157895	0.495451203060012	0.77072362099767	3.34778575744659	-2.07326687413236	2.07326687413236	f
teraith	təɹeɪθ	_P	4.2	0.50396391871324	0.634711124153747	3.65552804658481	-0.544471953415194	0.544471953415194	T
hilayth	həleɪθ	_P	5.0	0.50396391871324	0.634711124153747	3.65552804658481	-1.34447195341519	1.34447195341519	T
nagith	neɪgəθ	P_	3.8	0.416788531758712	0.634711124153747	3.37825202936678	-0.421747970633225	0.421747970633225	T
smathe	smeɪθ	P	5.07142857142857	0.50396391871324	0.634711124153747	3.65552804658481	-1.41590052484376	1.41590052484376	T
spailith	speɪləθ	P_	3.8125	0.416788531758712	0.634711124153747	3.37825202936678	-0.434247970633225	0.434247970633225	T
payth	peɪθ	P	4.77777777777778	0.50396391871324	0.634711124153747	3.65552804658481	-1.12224973119297	1.12224973119297	T
wureef	wəɹif	_P	5.47058823529412	0.495451203060012	0.632576470429377	3.6353140869004	-1.83527414839372	1.83527414839372	f
chiddif	ʧɪdəf	P_	3.9	0.341731124232626	0.77072362099767	2.84311924074834	-1.05688075925166	1.05688075925166	f
neshif	nəʃɪf	_P	5.68421052631579	0.341731124232626	0.766883122293398	2.84950423632106	-2.83470628999473	2.83470628999473	f
kezinf	kəzɪnf	_P	3.35714285714286	0.584780394432651	0.527267996310959	4.15515259569748	0.798009738554619	0.798009738554619	f
weebif	wibəf	P_	4.0	0.341731124232626	0.77072362099767	2.84311924074834	-1.15688075925166	1.15688075925166	f
rideef	ɹədif	_P	4.92857142857143	0.495451203060012	0.632576470429377	3.6353140869004	-1.29325734167103	1.29325734167103	f
rilkuf	rɪlkəf	P_	3.75	0.341731124232626	0.77072362099767	2.84311924074834	-0.906880759251655	0.906880759251655	f
deef	dif	P	5.375	0.495451203060012	0.632576470429377	3.6353140869004	-1.7396859130996	1.7396859130996	f
niff	nɪf	P	3.76470588235294	0.341731124232626	0.766883122293398	2.84950423632106	-0.915201646031884	0.915201646031884	f
shilf	ʃɪlf	P	4.59090909090909	0.828041848780226	0.527267996310959	4.66576772881561	0.074858637906523	0.074858637906523	f
gleef	glif	P	5.36363636363636	0.495451203060012	0.632576470429377	3.6353140869004	-1.72832227673596	1.72832227673596	f
piedif	pidəf	P_	4.84210526315789	0.341731124232626	0.77072362099767	2.84311924074834	-1.99898602240955	1.99898602240955	f
dweeth	dwiθ	P	4.69230769230769	0.505043050291022	0.611075117931204	3.71499773771516	-0.977309954592531	0.977309954592531	T
siltith	sɪltəθ	P_	4.4	0.416788531758712	0.634711124153747	3.37825202936678	-1.02174797063323	1.02174797063323	T
hareeth	həɹiθ	_P	4.4	0.505043050291022	0.611075117931204	3.71499773771516	-0.685002262284842	0.685002262284842	T
leeseth	lisəθ	P_	3.7	0.416788531758712	0.634711124153747	3.37825202936678	-0.321747970633225	0.321747970633225	T
bilth	bɪlθ	P	3.66666666666667	0.327899907019879	0.684757970352886	2.94280762148761	-0.723859045179057	0.723859045179057	T
ristilth	rəstɪlθ	_P	4.68421052631579	0.327899907019879	0.684757970352886	2.94280762148761	-1.74140290482818	1.74140290482818	T
lith	lɪθ	P	4.23529411764706	0.408086205126865	0.733948075466502	3.14399626383283	-1.09129785381423	1.09129785381423	T
beeth	biθ	P	4.88235294117647	0.505043050291022	0.611075117931204	3.71499773771516	-1.16735520346131	1.16735520346131	T
reecrith	ɹikrəθ	P_	3.61111111111111	0.416788531758712	0.634711124153747	3.37825202936678	-0.232859081744335	0.232859081744335	T
zuzzeeth	zəziθ	_P	3.86666666666667	0.505043050291022	0.611075117931204	3.71499773771516	-0.151668928951511	0.151668928951511	T
fiddith	fɪdəθ	P_	2.86666666666667	0.416788531758712	0.634711124153747	3.37825202936678	0.511585362700105	0.511585362700105	T
tuspith	təspɪθ	_P	3.41176470588235	0.408086205126865	0.733948075466502	3.14399626383283	-0.267768442049523	0.267768442049523	T
nofe	noʊf	P	4.6	0.429648512180065	0.724918849851755	3.23277667276493	-1.36722332723507	1.36722332723507	f
sekloaf	səkloʊf	_P	5.4	0.429648512180065	0.724918849851755	3.23277667276493	-2.16722332723507	2.16722332723507	f
volif	voʊləf	P_	3.70588235294118	0.341731124232626	0.77072362099767	2.84311924074834	-0.862763112192836	0.862763112192836	f
nitoaf	nətoʊf	_P	5.14285714285714	0.429648512180065	0.724918849851755	3.23277667276493	-1.91008047009221	1.91008047009221	f
rowf	ɹoʊf	P	5.38461538461539	0.429648512180065	0.724918849851755	3.23277667276493	-2.15183871185046	2.15183871185046	f
flodaf	floʊdəf	P_	4.75	0.341731124232626	0.77072362099767	2.84311924074834	-1.90688075925166	1.90688075925166	f
brelowth	brəloʊθ	_P	5.76923076923077	0.506632560302305	0.618107677228684	3.70266436674012	-2.06656640249065	2.06656640249065	T
modith	moʊdəθ	P_	3.5	0.416788531758712	0.634711124153747	3.37825202936678	-0.121747970633225	0.121747970633225	T
doath	doʊθ	P	5.14285714285714	0.506632560302305	0.618107677228684	3.70266436674012	-1.44019277611701	1.44019277611701	T
choath	ʧoʊθ	P	5.0	0.506632560302305	0.618107677228684	3.70266436674012	-1.29733563325988	1.29733563325988	T
rocith	roʊsəθ	P_	4.57142857142857	0.416788531758712	0.634711124153747	3.37825202936678	-1.1931765420618	1.1931765420618	T
naboath	nəboʊθ	_P	3.71428571428571	0.506632560302305	0.618107677228684	3.70266436674012	-0.0116213475455851	0.0116213475455851	T
younif	junəf	P_	4.5	0.341731124232626	0.77072362099767	2.84311924074834	-1.65688075925166	1.65688075925166	f
doof	duf	P	4.33333333333333	0.361282486215392	0.668778946962674	3.10443265563717	-1.22890067769616	1.22890067769616	f
traloof	tɹəluf	_P	5.21428571428571	0.361282486215392	0.668778946962674	3.10443265563717	-2.10985305864854	2.10985305864854	f
ruveth	ruvəθ	P_	3.4	0.416788531758712	0.634711124153747	3.37825202936678	-0.0217479706332249	0.0217479706332249	T
kanuth	kənuθ	_P	4.0625	0.506632560302305	0.595518004857325	3.75805816183886	-0.304441838161141	0.304441838161141	T
hooth	huθ	P	5.5	0.506632560302305	0.595518004857325	3.75805816183886	-1.74194183816114	1.74194183816114	T
stookif	stʊkəf	P_	4.25	0.341731124232626	0.77072362099767	2.84311924074834	-1.40688075925166	1.40688075925166	f
cloof	klʊf	P	4.95238095238095	0.383540206208551	0.755984093885978	3.01947535218021	-1.93290560020074	1.93290560020074	f
stiroof	stərʊf	_P	5.17647058823529	0.383540206208551	0.755984093885978	3.01947535218021	-2.15699523605508	2.15699523605508	f
pruth	prʊθ	P	3.9047619047619	0.528801502830958	0.595518004857325	3.82198164782302	-0.0827802569388809	0.0827802569388809	T
sheduth	ʃədʊθ	_P	3.0625	0.528801502830958	0.595518004857325	3.82198164782302	0.759481647823019	0.759481647823019	T
quazuf	kwəzʌf	_P	4.1304347826087	0.341731124232626	0.809632566809654	2.78083325134183	-1.34960153126687	1.34960153126687	f
brunlif	brʌnləf	P_	3.53333333333333	0.341731124232626	0.77072362099767	2.84311924074834	-0.690214092584986	0.690214092584986	f
bunf	bʌnf	P	4.38095238095238	0.584780394432651	0.527267996310959	4.15515259569748	-0.225799785254901	0.225799785254901	f
shuttif	ʃʌtəf	P_	3.11111111111111	0.341731124232626	0.77072362099767	2.84311924074834	-0.267991870362765	0.267991870362765	f
nadulf	nədʌlf	_P	4.70588235294118	0.828041848780226	0.527267996310959	4.66576772881561	-0.0401146241255672	0.0401146241255672	f
suff	sʌf	P	3.375	0.341731124232626	0.809632566809654	2.78083325134183	-0.594166748658168	0.594166748658168	f
sulth	sʌlθ	P	3.63157894736842	0.327899907019879	0.684757970352886	2.94280762148761	-0.688771325880807	0.688771325880807	T
sepulth	səpʌlθ	_P	5.0	0.327899907019879	0.684757970352886	2.94280762148761	-2.05719237851239	2.05719237851239	T
sistuth	səstʌθ	_P	3.89473684210526	0.460830422888189	0.633497092622476	3.52664992713709	-0.368086914968171	0.368086914968171	T
kuth	kʌθ	P	4.41176470588235	0.460830422888189	0.633497092622476	3.52664992713709	-0.885114778745261	0.885114778745261	T
tulpith	tʌlpəθ	P_	3.5625	0.416788531758712	0.634711124153747	3.37825202936678	-0.184247970633225	0.184247970633225	T
juckith	ʤʌkəθ	P_	3.76470588235294	0.416788531758712	0.634711124153747	3.37825202936678	-0.386453852986165	0.386453852986165	T
