Base	Ortho	HumanVoice	MinGenVoice	PredictedVoice	Derivative	Prob	id_voice_s1	id_voice_root	id_voice_affix	no_long_v_f	no_long_v	Average
dʒɑnəf	jonnif	3.13333333333	2.84311924075	4.10064350511	dʒɑnəfs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
dʒɑnəf	jonnif	3.13333333333	2.84311924075	4.10064350511	dʒɑnəvz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.348218265505
həbɑf	hibof	5.875	2.87578967186	4.10064350511	həbɑfs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
həbɑf	hibof	5.875	2.87578967186	4.10064350511	həbɑvz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.348218265505
wɑf	wof	3.0	2.87578967186	4.22774423777	wɑfs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
wɑf	wof	3.0	2.87578967186	4.22774423777	wɑvz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.433578347607
tɑkəf	tockif	4.5	2.84311924075	4.25437631313	tɑkəfs	0.542396052188	0.0	0.0	0.195563468991	0.0	0.392	0.293781734495
tɑkəf	tockif	4.5	2.84311924075	4.25437631313	tɑkəvz	0.457603947812	0.0	0.304436531009	0.0	0.0	0.392	0.348218265505
glənɑf	glinof	4.70588235294	2.87578967186	4.10064350511	glənɑfs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
glənɑf	glinof	4.70588235294	2.87578967186	4.10064350511	glənɑvz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.348218265505
smɑf	smof	6.125	2.87578967186	4.22774423777	smɑfs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
smɑf	smof	6.125	2.87578967186	4.22774423777	smɑvz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.433578347607
hɑkəθ	hockith	3.04761904762	3.37825202937	4.25437631313	hɑkəθs	0.542396052188	0.0	0.0	0.195563468991	0.0	0.392	0.293781734495
hɑkəθ	hockith	3.04761904762	3.37825202937	4.25437631313	hɑkəðz	0.457603947812	0.0	0.304436531009	0.0	0.0	0.392	0.348218265505
wɑθ	wath	4.6	3.82434108879	4.22774423777	wɑθs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
wɑθ	wath	4.6	3.82434108879	4.22774423777	wɑðz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.433578347607
ʤəzɑθ	jezoth	2.88235294118	3.82434108879	4.10064350511	ʤəzɑθs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
ʤəzɑθ	jezoth	2.88235294118	3.82434108879	4.10064350511	ʤəzɑðz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.348218265505
pɑɹθ	parth	4.17647058824	3.45506074102	4.22774423777	pɑɹθs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
pɑɹθ	parth	4.17647058824	3.45506074102	4.22774423777	pɑɹðz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.433578347607
sɑstəθ	saustith	4.7	3.37825202937	4.20433545911	sɑstəθs	0.534055909852	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
sɑstəθ	saustith	4.7	3.37825202937	4.20433545911	sɑstəðz	0.465944090148	0.0	0.304436531009	0.0	0.157222972552	0.392	0.426829751781
kənɑθ	kenath	3.92	3.82434108879	4.10064350511	kənɑθs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
kənɑθ	kenath	3.92	3.82434108879	4.10064350511	kənɑðz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.348218265505
pɚnæf	pernaff	5.21052631579	0	4.10064350511	pɚnæfs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
pɚnæf	pernaff	5.21052631579	0	4.10064350511	pɚnævz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.348218265505
zælf	zalf	5.0625	0	4.22774423777	zælfs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
zælf	zalf	5.0625	0	4.22774423777	zælvz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.433578347607
bəwælf	buwalf	4.94444444444	0	4.10064350511	bəwælfs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
bəwælf	buwalf	4.94444444444	0	4.10064350511	bəwælvz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.348218265505
yælməf	yalmif	4.53846153846	0	4.06518435833	yælməfs	0.489135940279	0.0	0.0	0.195563468991	0.157222972552	0.784	0.568393220771
yælməf	yalmif	4.53846153846	0	4.06518435833	yælməvz	0.510864059721	0.0	0.304436531009	0.0	0.0	0.784	0.544218265505
ʤæf	jaff	4.11111111111	0	4.22774423777	ʤæfs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.372393220771
ʤæf	jaff	4.11111111111	0	4.22774423777	ʤævz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.433578347607
ʃædəf	shaddef	4.46666666667	0	4.25437631313	ʃædəfs	0.542396052188	0.0	0.0	0.195563468991	0.0	0.392	0.293781734495
ʃædəf	shaddef	4.46666666667	0	4.25437631313	ʃædəvz	0.457603947812	0.0	0.304436531009	0.0	0.0	0.392	0.348218265505
