Base	Ortho	HumanVoice	MinGenVoice	PredictedVoice	Derivative	Prob	id_voice_s1	id_voice_root	id_voice_affix	no_long_v_f	no_long_v	Average
səsælθ	sisalth	5.625	0	4.10064350511	səsælθs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
səsælθ	sisalth	5.625	0	4.10064350511	səsælðz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
nækəθ	nackith	3.42857142857	0	3.74562368687	nækəθs	0.542396052188	0.0	0.0	0.195563468991	0.0	0.392	0.587563468991
nækəθ	nackith	3.42857142857	0	3.74562368687	nækəðz	0.457603947812	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
kɹæθ	krath	4.33333333333	0	3.77225576223	kɹæθs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
kɹæθ	krath	4.33333333333	0	3.77225576223	kɹæðz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.867156695213
ʃəkæθ	shekath	5.0	0	4.10064350511	ʃəkæθs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
ʃəkæθ	shekath	5.0	0	4.10064350511	ʃəkæðz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
kælnəθ	kalnith	3.40909090909	0	4.10064350511	kælnəθs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
kælnəθ	kalnith	3.40909090909	0	4.10064350511	kælnəðz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
pælθ	palth	4.71428571429	0	3.77225576223	pælθs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
pælθ	palth	4.71428571429	0	3.77225576223	pælðz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.867156695213
kaɪrəf	kairif	4.08333333333	2.84311924075	4.10064350511	kaɪrəfs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
kaɪrəf	kairif	4.08333333333	2.84311924075	4.10064350511	kaɪrəvz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
səbaɪf	sebife	5.35	3.90667000306	4.10064350511	səbaɪfs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
səbaɪf	sebife	5.35	3.90667000306	4.10064350511	səbaɪvz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
zaɪf	zife	4.96	3.90667000306	3.77225576223	zaɪfs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
zaɪf	zife	4.96	3.90667000306	3.77225576223	zaɪvz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.867156695213
ɹaɪləf	rylif	4.94736842105	2.84311924075	4.10064350511	ɹaɪləfs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
ɹaɪləf	rylif	4.94736842105	2.84311924075	4.10064350511	ɹaɪləvz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
bɹaɪf	brife	5.78947368421	3.90667000306	3.77225576223	bɹaɪfs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
bɹaɪf	brife	5.78947368421	3.90667000306	3.77225576223	bɹaɪvz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.867156695213
zəkaɪf	zikife	4.57142857143	3.90667000306	4.10064350511	zəkaɪfs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
zəkaɪf	zikife	4.57142857143	3.90667000306	4.10064350511	zəkaɪvz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
ʧaɪθ	chyth	4.71428571429	3.33909931517	3.77225576223	ʧaɪθs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
ʧaɪθ	chyth	4.71428571429	3.33909931517	3.77225576223	ʧaɪðz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.867156695213
dəpaɪθ	dipyth	4.46666666667	3.33909931517	4.10064350511	dəpaɪθs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
dəpaɪθ	dipyth	4.46666666667	3.33909931517	4.10064350511	dəpaɪðz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
haɪləθ	hylith	3.73684210526	3.37825202937	4.10064350511	haɪləθs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
haɪləθ	hylith	3.73684210526	3.37825202937	4.10064350511	haɪləðz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
ʃɹaɪθ	shryth	5.15	3.33909931517	3.77225576223	ʃɹaɪθs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
ʃɹaɪθ	shryth	5.15	3.33909931517	3.77225576223	ʃɹaɪðz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.867156695213
paɪdəθ	pydith	3.17647058824	3.37825202937	3.74562368687	paɪdəθs	0.542396052188	0.0	0.0	0.195563468991	0.0	0.392	0.587563468991
paɪdəθ	pydith	3.17647058824	3.37825202937	3.74562368687	paɪdəðz	0.457603947812	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
həsaɪθ	hissyth	4.38888888889	3.33909931517	4.10064350511	həsaɪθs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
həsaɪθ	hissyth	4.38888888889	3.33909931517	4.10064350511	həsaɪðz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
pətɛlf	petelf	5.41666666667	4.66576772882	3.34676162789	pətɛlfs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
pətɛlf	petelf	5.41666666667	4.66576772882	3.34676162789	pətɛlvz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
nɛlgəf	nelgif	4.36363636364	2.84311924075	3.34676162789	nɛlgəfs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
nɛlgəf	nelgif	4.36363636364	2.84311924075	3.34676162789	nɛlgəvz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
wəgɛf	wageff	4.45454545455	3.00442078392	3.34676162789	wəgɛfs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
wəgɛf	wageff	4.45454545455	3.00442078392	3.34676162789	wəgɛvz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
yɛf	yeff	3.4	3.00442078392	3.77225576223	yɛfs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
yɛf	yeff	3.4	3.00442078392	3.77225576223	yɛvz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.867156695213
ʃɛstəf	shestef	5.84615384615	2.84311924075	3.34676162789	ʃɛstəfs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
ʃɛstəf	shestef	5.84615384615	2.84311924075	3.34676162789	ʃɛstəvz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
sɛnf	senf	4.5	4.1551525957	2.7494342299	sɛnfs	0.708427628349	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
sɛnf	senf	4.5	4.1551525957	2.7494342299	sɛnvz	0.291572371651	0.170720164204	0.304436531009	0.0	0.0	0.0	0.475156695213
ʃɛnəθ	shenneth	4.10526315789	3.37825202937	3.34676162789	ʃɛnəθs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
ʃɛnəθ	shenneth	4.10526315789	3.37825202937	3.34676162789	ʃɛnəðz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
pɛlθ	pelth	3.64285714286	2.94280762149	2.7494342299	pɛlθs	0.708427628349	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
pɛlθ	pelth	3.64285714286	2.94280762149	2.7494342299	pɛlðz	0.291572371651	0.170720164204	0.304436531009	0.0	0.0	0.0	0.475156695213
dəkɛlθ	dackelth	4.92857142857	2.94280762149	3.34676162789	dəkɛlθs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
dəkɛlθ	dackelth	4.92857142857	2.94280762149	3.34676162789	dəkɛlðz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
skɛθ	sketh	4.16666666667	3.14399626383	3.34676162789	skɛθs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
skɛθ	sketh	4.16666666667	3.14399626383	3.34676162789	skɛðz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
ɹəstɛθ	resteth	4.04761904762	3.14399626383	3.34676162789	ɹəstɛθs	0.608873062018	0.0	0.0	0.195563468991	0.0	0.0	0.195563468991
ɹəstɛθ	resteth	4.04761904762	3.14399626383	3.34676162789	ɹəstɛðz	0.391126937982	0.0	0.304436531009	0.0	0.0	0.0	0.304436531009
